# 1d351087-3021-4f01-bd08-c7385de95ef6
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 194.3066981; 418.7299429; -1.7374899; -0.0021550; 35.8693665; 4.4958678
1.9979441; 196.2777572; 418.3940605; -1.7416118; -0.0019678; 36.1189208; 4.4786937
3.9958881; 198.2465529; 418.0505895; -1.7453564; -0.0017794; 36.3658191; 4.4551636
5.9938322; 200.2133617; 417.7002549; -1.7487223; -0.0015901; 36.6097682; 4.4318396
7.9917763; 202.1784600; 417.3437821; -1.7517083; -0.0014000; 36.8508381; 4.4087179
9.9897204; 204.1421884; 416.9818842; -1.7543135; -0.0012093; 37.0890956; 4.3857946
11.9876644; 206.1066615; 416.6149401; -1.7565397; -0.0010186; 37.3246052; 4.3630659
13.9856085; 208.0701179; 416.2440485; -1.7583843; -0.0008277; 37.5574291; 4.3405282
15.9835526; 210.0327050; 415.8699585; -1.7598472; -0.0006367; 37.7876269; 4.3181782
17.9814967; 211.9945705; 415.4934193; -1.7609282; -0.0004456; 38.0152562; 4.2960124
19.9794407; 213.9559398; 415.1151651; -1.7616274; -0.0002565; 38.2403725; 4.2740276
21.9773848; 215.9179236; 414.7357327; -1.7619798; -0.0000962; 38.4630293; 4.2522206
23.9753289; 217.8796171; 414.3559651; -1.7620119; 0.0000641; 38.6832783; 4.2305886
25.9732729; 219.8411577; 413.9764876; -1.7617237; 0.0002245; 38.9011694; 4.2091284
27.9712170; 221.8026829; 413.5979256; -1.7611150; 0.0003849; 39.1167507; 4.1878374
29.9691611; 223.7644183; 413.2208873; -1.7601872; 0.0005320; 39.3300688; 4.1667126
31.9671052; 225.7271042; 412.8457707; -1.7590861; 0.0005701; 39.5411688; 4.1457515
33.9650492; 227.6900696; 412.4729177; -1.7579091; 0.0006081; 39.7500942; 4.1249515
35.9629933; 229.6533461; 412.1024765; -1.7566561; 0.0006462; 39.9568872; 4.1043101
37.9609374; 231.6169651; 411.7345953; -1.7553272; 0.0006843; 40.1615886; 4.0878645
39.9588815; 233.5810467; 411.3694058; -1.7539229; 0.0007177; 40.3644379; 4.0725841
41.9568255; 235.5460239; 411.0069514; -1.7524812; 0.0007253; 40.5655203; 4.0573861
43.9547696; 237.5114158; 410.6473650; -1.7510244; 0.0007329; 40.7648660; 4.0422694
45.9527137; 239.4772344; 410.2906749; -1.7495524; 0.0007405; 40.9625043; 4.0272332
47.9506577; 241.4434916; 409.9369091; -1.7480654; 0.0007481; 41.1584637; 4.0122765
49.9486018; 243.4102644; 409.5860845; -1.7465632; 0.0007557; 41.3527718; 3.9973984
51.9465459; 245.3777662; 409.2381943; -1.7450456; 0.0007634; 41.5454558; 3.9825980
53.9444900; 247.3457428; 408.8933150; -1.7435125; 0.0007712; 41.7365417; 3.9678746
55.9424340; 249.3142059; 408.5514756; -1.7419641; 0.0007789; 41.9260551; 3.9532273
57.9403781; 251.2831674; 408.2127051; -1.7404003; 0.0007865; 42.1140208; 3.9386553
59.9383222; 253.2526513; 407.8770303; -1.7388213; 0.0007943; 42.3004631; 3.9241577
61.9362663; 255.2226960; 407.5444761; -1.7372265; 0.0008021; 42.4854054; 3.9097338
63.9342103; 257.1932753; 407.2150788; -1.7356161; 0.0008100; 42.6688707; 3.8953829
65.9321544; 259.1644017; 406.8888681; -1.7339900; 0.0008178; 42.8508815; 3.8811042
67.9300985; 261.1360876; 406.5658738; -1.7323482; 0.0008256; 43.0314594; 3.8668970
69.9280425; 263.1082729; 406.2461372; -1.7306909; 0.0008335; 43.2106259; 3.8527605
71.9259866; 265.0808602; 405.9297058; -1.7290177; 0.0008415; 43.3884016; 3.8386941
73.9239307; 267.0540445; 405.6165803; -1.7273284; 0.0008495; 43.5648067; 3.8246971
75.9218748; 269.0278388; 405.3067917; -1.7256231; 0.0008575; 43.7398610; 3.8107688
77.9198188; 271.0022557; 405.0003707; -1.7239017; 0.0008655; 43.9135839; 3.7969086
79.9177629; 272.9771158; 404.6973775; -1.7221644; 0.0008736; 44.0859941; 3.7766663
81.9157070; 274.9522307; 404.3978724; -1.7204111; 0.0008818; 44.2568188; 3.7501519
83.9136511; 276.9280067; 404.1018268; -1.7186412; 0.0008900; 44.4257943; 3.7238886
85.9115951; 278.9044566; 403.8092725; -1.7168548; 0.0008982; 44.5929528; 3.6978726
87.9095392; 280.8815934; 403.5202415; -1.7150520; 0.0009063; 44.7583257; 3.6721001
89.9074833; 282.8590805; 403.2348158; -1.7132330; 0.0009146; 44.9219437; 3.6465675
91.9054274; 284.8366877; 402.9530606; -1.7113975; 0.0009231; 45.0838363; 3.6212712
93.9033714; 286.8150217; 402.6749232; -1.7095447; 0.0009317; 45.2440327; 3.5962077
95.9013155; 288.7940969; 402.4004373; -1.7076748; 0.0009401; 45.4025609; 3.5713736
97.8992596; 290.7739272; 402.1296364; -1.7057877; 0.0009486; 45.5594485; 3.5467656
99.8972036; 292.7539824; 401.8626268; -1.7038840; 0.0009571; 45.7147222; 3.5223804
101.8951477; 294.7340392; 401.5994707; -1.7019638; 0.0009656; 45.8684081; 3.4982149
103.8930918; 296.7148881; 401.3400965; -1.7000264; 0.0009741; 46.0205317; 3.4742660
105.8910359; 298.6965400; 401.0845386; -1.6980717; 0.0009825; 46.1711178; -3.8694778
107.8889799; 300.6790058; 400.8328317; -1.6960999; 0.0009909; 46.0033707; -11.2231215
109.8869240; 302.6615193; 400.5851065; -1.6941114; 0.0010000; 45.5133363; -11.2197909
111.8848681; 304.6439165; 400.3414170; -1.6921040; 0.0010100; 45.0181158; -11.2174722
113.8828122; 306.6271794; 400.1016817; -1.6900765; 0.0010199; 44.5174908; -11.2161614
115.8807562; 308.6113331; 399.8659397; -1.6880289; 0.0010297; 44.0112311; -11.2158543
117.8787003; 310.5964027; 399.6342299; -1.6859613; 0.0010394; 43.4990938; -11.1497257
119.8766444; 312.5814709; 399.4067042; -1.6838575; 0.0010852; 42.9839284; -11.0169231
121.8745884; 314.5664507; 399.1835545; -1.6816051; 0.0011701; 42.4687616; -10.8911013
123.8725325; 316.5523147; 398.9650047; -1.6791826; 0.0012550; 41.9532608; -10.7721252
125.8704766; 318.5390171; 398.7514033; -1.6765899; 0.0013401; 41.4370834; -10.6598750
127.8684207; 320.5265119; 398.5430992; -1.6738267; 0.0014253; 40.9198755; -10.5570899
129.8663647; 322.5144452; 398.3404715; -1.6708941; 0.0015090; 40.4011295; -10.4633221
131.8643088; 324.5027715; 398.1438591; -1.6677970; 0.0015912; 39.8803335; -10.3756650
133.8622529; 326.4917251; 397.9535681; -1.6645354; 0.0016736; 39.3570959; -10.2940613
135.8601970; 328.4812421; 397.7699348; -1.6611089; 0.0017564; 38.8310067; -10.2184669
137.8581410; 330.4712589; 397.5932959; -1.6575171; 0.0018394; 38.3016348; -10.1485827
139.8560851; 332.4623056; 397.4239385; -1.6537582; 0.0019229; 37.7685402; -10.0844387
141.8540292; 334.4542423; 397.2622127; -1.6498314; 0.0020069; 37.2312549; -10.0262669
143.8519732; 336.4464856; 397.1085021; -1.6457371; 0.0020913; 36.6892695; -9.9740740
145.8499173; 338.4389706; 396.9631451; -1.6414747; 0.0021760; 36.1420422; -9.9278790
147.8478614; 340.4316320; 396.8264799; -1.6370437; 0.0022610; 35.5889944; -9.8950849
149.8458055; 342.4255828; 396.6987711; -1.6324442; 0.0023404; 35.0290861; -9.8739242
151.8437495; 344.4205447; 396.5803625; -1.6276921; 0.0024153; 34.4613083; -9.8587034
