# e7380bcd-1aec-4e09-94c9-0bee3a534769
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 98.2490643; 243.5304791; -1.7425769; 0.0015863; 20.1773848; 5.0455457
1.9986664; 100.2112542; 243.1932677; -1.7393914; 0.0016120; 20.6711292; 5.0329403
3.9973327; 102.1756269; 242.8621667; -1.7361632; 0.0016274; 21.1521611; 5.0203663
5.9959991; 104.1452996; 242.5367392; -1.7329076; 0.0016324; 21.6213319; 5.0078238
7.9946655; 106.1233898; 242.2165484; -1.7296403; 0.0016270; 22.0794006; 4.9953125
9.9933319; 108.1034528; 241.9026542; -1.7264147; 0.0015051; 22.5270472; 4.9828326
11.9919982; 110.0608634; 241.5982096; -1.7239427; 0.0009942; 22.9648840; 4.9703838
13.9906646; 112.0299581; 241.2959321; -1.7224578; 0.0004996; 23.3934644; 4.9579661
15.9893310; 114.0093482; 240.9940973; -1.7219417; 0.0000184; 23.8132907; 4.9455795
17.9879973; 115.9976449; 240.6909807; -1.7223797; -0.0004521; 24.2248208; 4.9332238
19.9866637; 117.9823283; 240.3865841; -1.7237028; -0.0007581; 24.6284729; 4.9208990
21.9853301; 119.9487266; 240.0820519; -1.7251716; -0.0007185; 25.0246308; 4.9086049
23.9839964; 121.9205389; 239.7737890; -1.7265675; -0.0006806; 25.4136474; 4.8963416
25.9826628; 123.8970663; 239.4620340; -1.7278926; -0.0006441; 25.7958482; 4.8841089
27.9813292; 125.8776100; 239.1470255; -1.7291490; -0.0006090; 26.1715340; 4.8719068
29.9799956; 127.8565925; 238.8297860; -1.7303397; -0.0005885; 26.5409838; 4.8597351
31.9786619; 129.8279042; 238.5113861; -1.7315235; -0.0005973; 26.9044569; 4.8475939
33.9773283; 131.8007699; 238.1903187; -1.7327270; -0.0006071; 27.2621945; 4.8354830
35.9759947; 133.7742467; 237.8666922; -1.7339519; -0.0006180; 27.6144216; 4.8234023
37.9746610; 135.7473919; 237.5406147; -1.7351998; -0.0006302; 27.9613488; 4.8113519
39.9733274; 137.7213287; 237.2118493; -1.7364726; -0.0006390; 28.3031730; 4.7993315
41.9719938; 139.6979684; 236.8800368; -1.7377524; -0.0006382; 28.6400790; 4.7873412
43.9706602; 141.6716552; 236.5461248; -1.7390301; -0.0006385; 28.9722405; 4.7753808
45.9693265; 143.6416164; 236.2102544; -1.7403072; -0.0006398; 29.2998209; 4.7634503
47.9679929; 145.6070792; 235.8725670; -1.7415851; -0.0006420; 29.6229742; 4.7515496
49.9666593; 147.5748333; 235.5318880; -1.7428770; -0.0006680; 29.9418458; 4.7396787
51.9653256; 149.5550865; 235.1862943; -1.7443033; -0.0007514; 30.2565728; 4.7278374
53.9639920; 151.5285785; 234.8388124; -1.7458943; -0.0008370; 30.5672854; 4.7160257
55.9626584; 153.4947009; 234.4892327; -1.7476530; -0.0009249; 30.8741067; 4.7042435
57.9613248; 155.4528456; 234.1373456; -1.7495828; -0.0010155; 31.1771533; 4.6924907
59.9599911; 157.4140909; 233.7808185; -1.7516388; -0.0009329; 31.4765363; 4.6807673
61.9586575; 159.3888045; 233.4181359; -1.7530910; -0.0005119; 31.7723610; 4.6690732
63.9573239; 161.3563692; 233.0546809; -1.7536868; -0.0000822; 32.0647277; 1.9829838
65.9559902; 163.3183805; 232.6919193; -1.7534169; 0.0003537; 32.1880942; -11.8334506
67.9546566; 165.2764339; 232.3313174; -1.7522754; 0.0007934; 31.4447319; -11.4120257
69.9533230; 167.2378146; 231.9733110; -1.7502465; 0.0012484; 30.7108043; -11.0179734
71.9519893; 169.2043124; 231.6194352; -1.7472834; 0.0017172; 29.9851796; -10.6658174
73.9506557; 171.1714048; 231.2724138; -1.7433876; 0.0021828; 29.2656142; -10.3555735
75.9493221; 173.1405424; 230.9338769; -1.7385659; 0.0026425; 28.5496323; -10.0872094
77.9479885; 175.1131759; 230.6054545; -1.7328285; 0.0030939; 27.8345032; -9.6587720
79.9466548; 177.0821535; 230.2902036; -1.7260410; 0.0038054; 27.1320888; -9.1868201
81.9453212; 179.0525458; 229.9900460; -1.7176155; 0.0046471; 26.4466910; -8.7764833
83.9439876; 181.0295258; 229.7076115; -1.7075037; 0.0054772; 25.7748898; -8.4252753
85.9426539; 183.0138272; 229.4462665; -1.6957219; 0.0062932; 25.1130706; -8.1315989
87.9413203; 185.0061839; 229.2093773; -1.6822903; 0.0070922; 24.4573426; -7.8640953
89.9399867; 186.9761298; 229.0033620; -1.6674257; 0.0079229; 23.8060119; -7.6703600
91.9386531; 188.9492480; 228.8282470; -1.6509467; 0.0087017; 23.1530823; -7.5619045
93.9373194; 190.9367259; 228.6864152; -1.6328983; 0.0093988; 22.4908375; -7.5388501
95.9359858; 192.9417746; 228.5811427; -1.6134032; 0.0100030; 21.8106048; -7.5365666
97.9346522; 194.9676053; 228.5157056; -1.5925999; 0.0105055; 21.1086787; -6.5869733
99.9333185; 196.9426789; 228.4945933; -1.5692756; 0.0135363; 20.4754974; -5.4912964
101.9319849; 198.9220320; 228.5264082; -1.5390279; 0.0170075; 19.9322717; -4.4895098
103.9306513; 200.9150794; 228.6259083; -1.5016641; 0.0204233; 19.4768937; -3.5531779
105.9293176; 202.9170512; 228.8081685; -1.4572307; 0.0237577; 19.1087978; -2.6724286
107.9279840; 204.9231776; 229.0882637; -1.4058406; 0.0269396; 18.8272029; -2.3416657
109.9266504; 206.8340435; 229.4572175; -1.3570393; 0.0195001; 18.5769521; -5.1223239
111.9253168; 208.7054136; 229.8922274; -1.3317752; 0.0069571; 18.0174226; -9.9204456
113.9239831; 210.6062734; 230.3613192; -1.3297008; -0.0045989; 16.8811195; -8.4354728
115.9226495; 212.5555959; 230.8237759; -1.3494365; -0.0148120; 15.8509559; -6.9121389
117.9213159; 214.5723538; 231.2388807; -1.3891114; -0.0233770; 14.9540190; -6.2575005
119.9199822; 216.6706593; 231.5653091; -1.4461105; -0.0295385; 14.0928838; -6.2025632
121.9186486; 218.7866097; 231.7626668; -1.5100827; -0.0312443; 13.1839169; -6.6770646
123.9173150; 220.9238533; 231.8176459; -1.5820286; -0.0367586; 12.1295184; -6.2840562
125.9159814; 223.0112178; 231.7072963; -1.6689078; -0.0474748; 11.0456214; -5.3650066
127.9146477; 224.9775311; 231.4086675; -1.7804257; -0.0666054; 10.0279627; -3.3520090
129.9133141; 226.7516210; 230.8988092; -1.9310384; -0.0998437; 9.3360024; -0.0543398
131.9119805; 228.3615303; 230.0911512; -2.1536436; -0.1380203; 9.3243620; -0.0543398
133.9106468; 229.8321611; 228.8169919; -2.4085653; -0.1161469; 9.3127070; 1.8727812
135.9093132; 230.9787594; 227.2604830; -2.5897899; -0.0701025; 9.7063197; 5.2411171
137.9079796; 231.9306180; 225.5063955; -2.6844212; -0.0262449; 10.7314086; 5.2280230
139.9066460; 232.8170303; 223.6395008; -2.6995911; 0.0104014; 11.6645308; 1.2786643
141.9053123; 233.7210226; 221.8003661; -2.6762325; -0.0028903; 11.8816045; -7.7508360
143.9039787; 234.6028973; 219.9768178; -2.7182756; -0.0391872; 10.4971355; -4.6603545
145.9026451; 235.3253583; 218.1198342; -2.8366826; -0.0807864; 9.5687442; -1.5286164
147.9013114; 235.7354908; 216.2095591; -3.0375231; -0.1231683; 9.2439428; -0.0532735
149.8999778; 235.6803801; 214.2261363; 2.9759953; -0.1407831; 9.2324172; -0.0532735
151.8986442; 235.1810400; 212.5051629; 2.7567193; -0.0986217; 9.2208771; 3.5615936
153.8973105; 234.3386347; 210.8301304; 2.6043202; -0.0670532; 9.9630040; 5.2379616
155.8959769; 233.2084861; 209.1698960; 2.4894813; -0.0491659; 10.9635453; 5.2248754
157.8946433; 231.8586529; 207.5663983; 2.3975833; -0.0396230; 11.8779161; 5.2118219
159.8933097; 230.3571934; 206.0615762; 2.3184693; -0.0355819; 12.7247113; 5.1988011
161.8919760; 228.7721663; 204.6973686; 2.2442516; -0.0361801; 13.5166421; 5.1858127
163.8906424; 227.0452772; 203.4282006; 2.1646367; -0.0372016; 14.2628550; 4.3049676
165.8893088; 225.2780480; 202.3307433; 2.0892458; -0.0347507; 14.8538689; 4.1947995
167.8879751; 223.5105656; 201.3987412; 2.0246186; -0.0294499; 15.4079665; 4.8600591
169.8866415; 221.7414913; 200.5927623; 1.9744487; -0.0217995; 16.0260009; 5.1394796
171.8853079; 219.9694865; 199.8733746; 1.9413839; -0.0125638; 16.6546364; 5.1266394
173.8839743; 218.1661317; 199.1911939; 1.9261611; -0.0055184; 17.2589049; 5.1138314
175.8826406; 216.2678333; 198.5006536; 1.9122935; -0.0082301; 17.8412859; 5.1010553
177.8813070; 214.3652789; 197.8441402; 1.8928971; -0.0110729; 18.4038610; 5.0883112
179.8799734; 212.4598976; 197.2337245; 1.8677534; -0.0140983; 18.9483976; 5.0755989
181.8786397; 210.5531181; 196.6814768; 1.8365839; -0.0173480; 19.4764121; 5.0629184
183.8773061; 208.6419327; 196.1984368; 1.7989899; -0.0205847; 19.9892171; 3.5252694
185.8759725; 206.6583692; 195.7804500; 1.7583509; -0.0194760; 20.3386448; 3.6850311
187.8746389; 204.6772409; 195.4436439; 1.7204620; -0.0182047; 20.6976030; 3.9335152
189.8733052; 202.6994385; 195.1811285; 1.6855156; -0.0168044; 21.0740205; 4.2593364
191.8719716; 200.7258524; 194.9860135; 1.6536586; -0.0153053; 21.4741781; 4.6538770
193.8706380; 198.7535773; 194.8512037; 1.6249335; -0.0138815; 21.9030459; 5.0001604
195.8693043; 196.7466196; 194.7705718; 1.5969306; -0.0139939; 22.3546577; 4.6944818
197.8679707; 194.7454291; 194.7463486; 1.5688465; -0.0140633; 22.7705101; 4.3841505
199.8666371; 192.7496149; 194.7782807; 1.5407413; -0.0140889; 23.1521281; 4.1130649
201.8653034; 190.7587863; 194.8661149; 1.5126759; -0.0140701; 23.5045171; 3.8814880
203.8639698; 188.7716772; 195.0096673; 1.4847382; -0.0138298; 23.8322874; 3.7900084
205.8626362; 186.7859220; 195.2080367; 1.4580160; -0.0129480; 24.1480403; 4.0852019
207.8613026; 184.8046958; 195.4578186; 1.4330476; -0.0120578; 24.4838265; 4.3972034
209.8599689; 182.8281791; 195.7555343; 1.4098370; -0.0111665; 24.8401861; 2.6010530
211.8586353; 180.8565520; 196.0977049; 1.3883797; -0.0102799; 25.0485952; -5.8769183
213.8573017; 178.9006522; 196.4785358; 1.3692974; -0.0079630; 24.5751932; -7.4793631
215.8559680; 176.9646209; 196.8867550; 1.3582405; -0.0032207; 23.9591865; -10.4989423
217.8546344; 175.0226960; 197.3091926; 1.3565018; 0.0014466; 23.0667478; -9.3647283
219.8533008; 173.0669157; 197.7287645; 1.3639415; 0.0059526; 22.2405242; -7.5459796
221.8519672; 171.0893183; 198.1283863; 1.3803060; 0.0102143; 21.5517314; -6.6674912
223.8506335; 169.1209062; 198.4846193; 1.4041019; 0.0128045; 20.9242669; -6.6293011
225.8492999; 167.1703047; 198.7869534; 1.4302359; 0.0136821; 20.2811593; -6.6146599
227.8479663; 165.1942606; 199.0385191; 1.4584141; 0.0146171; 19.6184716; -6.6138784
