# bea59ef6-3061-4e03-8b0e-84d7c12ae685
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 147.3197999; 288.1581389; -1.7417775; 0.0100836; 29.3550631; 2.7721683
1.9989510; 149.3031646; 287.8359261; -1.7221082; 0.0095109; 29.5432325; 3.1533182
3.9979021; 151.2921067; 287.5517367; -1.7034914; 0.0090364; 29.7558270; 3.4457020
5.9968531; 153.2806330; 287.3043386; -1.6857834; 0.0086514; 29.9864106; 3.6588359
7.9958041; 155.2627500; 287.0924998; -1.6688513; 0.0083497; 30.2293316; 3.7988154
9.9947552; 157.2349490; 286.9147843; -1.6525521; 0.0080691; 30.4794977; 3.9232030
11.9937062; 159.2521752; 286.7648609; -1.6380165; 0.0062735; 30.7357180; 4.7095723
13.9926572; 161.2541072; 286.6414577; -1.6273516; 0.0043384; 31.0405021; 4.6978045
15.9916083; 163.2446837; 286.5360580; -1.6207178; 0.0023021; 31.3415720; 4.6860662
17.9905593; 165.2278429; 286.4401448; -1.6182216; 0.0002044; 31.6390355; 0.5252266
19.9895103; 167.2064357; 286.3452694; -1.6198202; -0.0015123; 31.6722019; -10.7675474
21.9884614; 169.1824878; 286.2450912; -1.6232088; -0.0019087; 30.9851702; -10.4841578
23.9874124; 171.1651221; 286.1370661; -1.6273691; -0.0022759; 30.3012563; -10.2631519
25.9863634; 173.1600436; 286.0193085; -1.6322537; -0.0026051; 29.6164660; -10.1055202
27.9853145; 175.1729571; 285.8899329; -1.6378035; -0.0028891; 28.9263579; -9.3738699
29.9842655; 177.1721043; 285.7497066; -1.6441601; -0.0039107; 28.2711578; -7.9132220
31.9832165; 179.1424112; 285.5958959; -1.6539162; -0.0059489; 27.7059936; -6.5688487
33.9821676; 181.1291194; 285.4171657; -1.6677847; -0.0079509; 27.2279354; -5.2787517
35.9811186; 183.1263771; 285.2053794; -1.6857667; -0.0099567; 26.8375955; -3.9894475
37.9800696; 185.1283325; 284.9524007; -1.7079117; -0.0119987; 26.5387851; -3.2223804
39.9790207; 187.1407301; 284.6482658; -1.7341532; -0.0133200; 26.2949492; -3.0997525
41.9779717; 189.1595464; 284.2869070; -1.7618195; -0.0137323; 26.0582395; -2.6515179
43.9769227; 191.1493897; 283.8726921; -1.7905373; -0.0146107; 25.8540390; -1.8040845
45.9758738; 193.0929055; 283.4078529; -1.8210602; -0.0160449; 25.7141747; -0.4122317
47.9748248; 194.9727390; 282.8946210; -1.8542772; -0.0181937; 25.6821089; -0.4122317
49.9737758; 196.8294462; 282.3163806; -1.8911922; -0.0180478; 25.6500031; -0.2852450
51.9727269; 198.6854012; 281.6673584; -1.9212861; -0.0121953; 25.6277638; 3.5798563
53.9716779; 200.5124351; 280.9794718; -1.9381155; -0.0049441; 25.9054857; 0.6405935
55.9706289; 202.3638136; 280.2618433; -1.9406898; 0.0021693; 25.9548689; -7.3553587
57.9695800; 204.2928023; 279.5235952; -1.9299803; 0.0078344; 25.3820649; -6.6916834
59.9685310; 206.1535663; 278.8429624; -1.9126016; 0.0092215; 24.8494773; -6.1572397
61.9674820; 208.0555559; 278.1868951; -1.8928849; 0.0104799; 24.3491372; -5.2104920
63.9664331; 209.9999571; 277.5623867; -1.8695756; 0.0124937; 23.9175552; -3.6429317
65.9653841; 211.9489365; 276.9910609; -1.8412693; 0.0156157; 23.6111279; -0.9875357
67.9643351; 213.8646608; 276.4945417; -1.8059159; 0.0205197; 23.5273732; -0.9773374
69.9632862; 215.8820606; 276.0591628; -1.7610183; 0.0204464; 23.4441888; -0.8088656
71.9622372; 217.9052822; 275.7095951; -1.7248715; 0.0142545; 23.3751198; -4.2769680
73.9611882; 219.8628109; 275.4284850; -1.7048222; 0.0056487; 23.0064627; -9.3237016
75.9601393; 221.7823041; 275.1742084; -1.7034038; -0.0043195; 22.1815707; -6.9395453
77.9590903; 223.6879403; 274.9056956; -1.7210304; -0.0115246; 21.5471218; -6.7037130
79.9580413; 225.5849267; 274.6041090; -1.7323095; -0.0003604; 20.9159668; -8.2721961
81.9569924; 227.5165954; 274.2955022; -1.7228000; 0.0098430; 20.1098543; -5.0985966
83.9559434; 229.5018581; 274.0176501; -1.6939744; 0.0185963; 19.5964933; -2.7293550
85.9548944; 231.5596262; 273.8083276; -1.6479955; 0.0254719; 19.3160776; -2.5273928
