# 32c136b0-81ba-4812-b7a0-b940d43a10c1
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 60.1706532; 20.2246792; 2.0301267; 0.0802165; 12.2309076; -0.0934969
1.9819826; 58.6272141; 19.3526241; 2.1248670; 0.0289665; 12.2157473; 5.2067347
3.9639652; 57.0348001; 18.3364060; 2.1405328; -0.0098978; 13.0331806; 5.1938351
5.9459479; 55.3144893; 17.2830208; 2.0906475; -0.0375318; 13.8004340; 4.7329685
7.9279305; 53.3873598; 16.2994640; 1.9885429; -0.0548057; 14.4642076; 0.4031648
9.9099131; 51.5829323; 15.6107699; 1.8858653; -0.0460825; 14.5193469; 2.1535272
11.8918957; 49.7662251; 15.0971107; 1.8103781; -0.0347480; 14.8103997; 4.2410001
13.8738783; 47.8326707; 14.6890303; 1.7496820; -0.0272250; 15.3674694; 5.1524006
15.8558609; 45.8179419; 14.3782921; 1.6996706; -0.0221905; 16.0182101; 5.1396356
17.8378436; 43.7577118; 14.1566594; 1.6574057; -0.0188386; 16.6420068; 0.8394602
19.8198262; 41.6935102; 14.0161919; 1.6207524; -0.0174329; 16.7416840; -5.8617904
21.8018088; 39.7090596; 13.9559854; 1.5791580; -0.0245046; 16.0327181; -4.6156013
23.7837914; 37.7422434; 13.9915263; 1.5239834; -0.0315542; 15.4516007; -3.5909409
25.7657740; 35.7896722; 14.1479095; 1.4556337; -0.0380789; 14.9839114; -2.8900632
27.7477567; 33.8479571; 14.4502300; 1.3753020; -0.0433823; 14.5966260; -2.6676898
29.7297393; 31.9137087; 14.9235824; 1.2851725; -0.0467135; 14.2297878; -2.5964870
31.7117219; 30.0197151; 15.5785467; 1.1902830; -0.0475242; 13.8634222; -2.9261460
33.6937045; 28.2458130; 16.3859525; 1.0965310; -0.0490796; 13.4385764; -3.1833717
35.6756871; 26.5308955; 17.3770550; 0.9956610; -0.0531123; 12.9605771; -2.7836785
37.6576697; 24.9207702; 18.5509760; 0.8838933; -0.0593493; 12.5276556; -2.0793723
39.6396524; 23.4612447; 19.9068369; 0.7578498; -0.0673409; 12.1942444; -1.1226857
41.6216350; 22.1981268; 21.4437596; 0.6150980; -0.0760314; 12.0103834; -0.0899330
43.6036176; 21.1772240; 23.1608655; 0.4552329; -0.0833954; 11.9955332; -0.0899330
45.5856002; 20.3993335; 25.1521641; 0.2960475; -0.0658851; 11.9806647; 0.0483543
47.5675828; 19.9083494; 27.2515524; 0.1676256; -0.0542192; 11.9886613; -3.8841028
49.5495655; 19.6700473; 29.3601927; 0.0593932; -0.0487216; 11.3283517; -5.6042072
51.5315481; 19.6490654; 31.3815696; -0.0389872; -0.0498503; 10.3012946; -6.6847473
53.5135307; 19.8100420; 33.2191679; -0.1392523; -0.0614862; 8.9229235; -6.6470672
55.4955133; 20.1255124; 34.8059257; -0.2635005; -0.1011122; 7.2986177; -0.0332114
57.4774959; 20.9236224; 36.6603812; -0.5938607; -0.2258264; 7.2895934; -0.0332114
59.4594786; 22.1368791; 37.8674760; -0.9617265; -0.1604468; 7.2805579; 3.4621417
61.4414612; 23.8617741; 38.8175102; -1.1291790; -0.0281325; 8.1688636; 5.2582935
63.4234438; 25.7156197; 39.6707237; -1.1426926; -0.0077516; 9.3580995; 5.2452662
65.4054264; 27.3915288; 40.4094964; -1.1735864; -0.0246101; 10.4099029; 5.2322712
67.3874090; 29.2445425; 41.1238980; -1.2367946; -0.0390045; 11.3625094; 0.1562220
69.3693916; 31.2229288; 41.7105125; -1.3340696; -0.0558400; 11.3897269; -2.9438265
71.3513743; 33.2749555; 42.0659237; -1.4719989; -0.0773354; 10.8653878; -0.0736031
73.3333569; 35.3488906; 42.0867156; -1.6581081; -0.1018979; 10.8519534; -0.0736031
75.3153395; 37.4216033; 41.6812723; -1.8592500; -0.0780613; 10.8385023; 2.7564775
77.2973221; 39.4351784; 40.9224002; -1.9918284; -0.0464111; 11.3313597; 0.5300393
79.2793047; 41.3501282; 39.9708881; -2.0627942; -0.0202342; 11.4236934; -9.2914337
81.2612874; 43.1350787; 38.9873427; -2.0762430; 0.0090010; 9.6783186; -8.3229621
83.2432700; 44.7586555; 38.1323712; -2.0191548; 0.0612243; 7.7896032; -2.3143189
85.2252526; 46.3291744; 37.5293278; -1.8170203; 0.1886817; 7.1766315; -0.0321105
87.2072352; 48.2728604; 37.4769424; -1.3611257; 0.2335687; 7.1677580; -0.0321105
89.1892178; 49.9732308; 38.1545639; -1.0730481; 0.0737106; 7.1588735; 5.2679691
91.1712004; 51.7439854; 39.1783098; -1.0607226; -0.0460048; 8.4930275; 5.2549178
93.1531831; 53.5056056; 40.0646678; -1.1271077; 0.0021315; 9.6416714; -5.0226624
95.1351657; 55.2896552; 40.9654036; -1.0579592; 0.0671280; 8.5470561; -3.4807396
97.1171483; 56.9267607; 42.0947877; -0.8500676; 0.1443987; 7.6977034; -0.0369426
99.0991309; 58.1693424; 43.6245218; -0.4941520; 0.2030175; 7.6881856; -0.0369426
