# x_m,y_m,w_tr_right_m,w_tr_left_m
 567.8, 140.464, 3.6, 3.6
 407.28, 99.8436, 3.6, 3.6
 300.37, 73.3236, 3.6, 3.6
 287.54, 72.6036, 3.6, 3.6
 278.95, 88.3236, 3.6, 3.6
 250.27, 127.734, 3.6, 3.6
 227.41, 159.864, 3.6, 3.6
 150.03, 314.124, 3.6, 3.6
 66.76, 409.744, 3.6, 3.6
 71.88, 425.194, 3.6, 3.6
 143.78, 426.974, 3.6, 3.6
 193.99, 417.434, 3.6, 3.6
 268.61, 403.814, 3.6, 3.6
 336.96, 396.914, 3.6, 3.6
 407.96, 391.444, 3.6, 3.6
 418.09, 369.944, 3.6, 3.6
 350.24, 322.614, 3.6, 3.6
 288.07, 328.394, 3.6, 3.6
 235.61, 332.144, 3.6, 3.6
 213.37, 296.674, 3.6, 3.6
 217.61, 282.944, 3.6, 3.6
 251.7, 219.664, 3.6, 3.6
 299.17, 214.164, 3.6, 3.6
 332.46, 248.944, 3.6, 3.6
 370.08, 262.144, 3.6, 3.6
 536.13, 261.774, 3.6, 3.6
 576.04, 261.754, 3.6, 3.6
 597.75, 247.034, 3.6, 3.6
 616.07, 177.874, 3.6, 3.6
 607.42, 159.384, 3.6, 3.6
